id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43390069,Hotel in San Francisco · 1 bedroom · 1 bed · 1 private bath,162674732,Petite Auberge,,Downtown/Civic Center,37.789551,-122.411423,Private room,210,1,1,2022-07-23,0.09,4,273,1,Exempt
42209720,Guest suite in San Francisco · ★4.95 · 1 bedroom · 2 beds · 1 bath,19449399,Sam,,Bernal Heights,37.73325,-122.41484,Entire home/apt,153,1,192,2023-05-22,5.48,1,146,47,STR-0005081
42226441,Rental unit in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,218110608,Na,,Russian Hill,37.80485,-122.42161,Entire home/apt,2300,1,7,2023-04-23,0.28,7,89,2,License not needed per OSTR
43126263,Hotel in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 private bath,162674732,Petite Auberge,,Downtown/Civic Center,37.789551,-122.411423,Private room,370,1,4,2022-11-06,0.15,4,271,1,Exempt
43131853,Condo in San Francisco · 1 bedroom · 1.5 baths,5569348,Sako,,South of Market,37.78306,-122.39982,Entire home/apt,110,180,0,,,1,0,0,
43390075,Hotel in San Francisco · ★4.54 · 1 bedroom · 1 bed · 1 private bath,162674732,Petite Auberge,,Downtown/Civic Center,37.789551,-122.411423,Private room,190,1,39,2023-04-29,1.18,4,287,11,Exempt
43147452,Home in San Francisco · 1 bedroom · 3 shared baths,267895362,Rocky,,Nob Hill,37.79169,-122.4203,Private room,60,365,0,,,55,365,0,
43149204,Rental unit in San Francisco · ★4.91 · 1 bedroom · 1 bed · 1 bath,7179228,Jonathan,,Inner Richmond,37.77813,-122.4562,Entire home/apt,120,30,11,2023-01-31,0.39,2,10,3,
42256934,Home in San Francisco · 4 bedrooms · 4 beds · 2 baths,4628866,Norma,,Parkside,37.74645,-122.47408,Entire home/apt,500,32,0,,,1,322,0,
43395762,Home in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 private bath,301855381,Hai Lin,,Outer Sunset,37.75168,-122.48952,Private room,81,1,34,2023-05-19,2.59,1,60,32,
42278240,Guest suite in San Francisco · 1 bedroom · 2 beds · 1 bath,335930199,Sophie,,West of Twin Peaks,37.72674,-122.46278,Entire home/apt,79,2,2,2020-03-10,0.05,1,144,0,STR-0004104
43149731,Rental unit in San Francisco · 2 bedrooms · 2 baths,7088871,Shadi,,South of Market,37.78624,-122.39035,Entire home/apt,295,30,0,,,2,364,0,
43412641,Guest suite in San Francisco · ★4.95 · 1 bedroom · 2 beds · 1 bath,46107941,Patti And Rob,,Mission,37.76077,-122.42561,Entire home/apt,300,1,232,2023-05-28,6.54,4,134,82,2022-005900STR
43157614,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,245447609,Kim,,Downtown/Civic Center,37.77897,-122.4232,Entire home/apt,200,2,0,,,8,5,0,timeshare
43423845,Home in San Francisco · ★5.0 · 8 bedrooms · 10 beds · 4.5 baths,4440278,Emmanuel,,Castro/Upper Market,37.76211,-122.43069,Entire home/apt,850,30,3,2021-07-16,0.11,3,269,0,
42296655,Home in San Francisco · ★4.83 · 3 bedrooms · 3 beds · 1 bath,12745973,Jessica,,Bayview,37.73019,-122.38315,Entire home/apt,115,30,6,2021-08-10,0.15,2,302,0,
43431631,Home in San Francisco · ★5.0 · 3 bedrooms · 2 beds · 2 baths,13445416,Alex,,Noe Valley,37.74916,-122.43629,Entire home/apt,800,3,20,2023-05-21,0.59,1,347,7,pending
43186616,Rental unit in San Francisco · ★4.63 · 2 bedrooms · 2 beds · 1 bath,248285981,The Landing,,Potrero Hill,37.75869,-122.39502,Entire home/apt,225,30,8,2022-09-20,0.27,9,313,2,
43200504,Rental unit in San Francisco · 2 bedrooms · 3 beds · 1 bath,303118342,Jesse,,Western Addition,37.77548,-122.43234,Entire home/apt,132,30,0,,,22,294,0,
43220752,Condo in San Francisco · ★4.50 · 1 bedroom · 1 bed · 1 bath,19205444,Dorian,,Mission,37.7657,-122.42598,Entire home/apt,149,30,6,2023-05-22,0.23,1,303,3,
